epoch,grad_norm_layers_0_weight,grad_norm_layers_0_bias,grad_norm_layers_1_weight,grad_norm_layers_1_bias,grad_norm_layers_2_weight,grad_norm_layers_2_bias,train_loss,test_loss,train_acc,test_acc,acc_gap,grokking_score,l2_layers_0_weight,eff_rank_layers_0_weight,condition_number_layers_0_weight,weight_dist_init_layers_0_weight,sign_stability_layers_0_weight,update_weight_ratio_layers_0_weight,l2_layers_0_bias,weight_dist_init_layers_0_bias,sign_stability_layers_0_bias,update_weight_ratio_layers_0_bias,l2_layers_1_weight,eff_rank_layers_1_weight,condition_number_layers_1_weight,weight_dist_init_layers_1_weight,sign_stability_layers_1_weight,update_weight_ratio_layers_1_weight,l2_layers_1_bias,weight_dist_init_layers_1_bias,sign_stability_layers_1_bias,update_weight_ratio_layers_1_bias,l2_layers_2_weight,eff_rank_layers_2_weight,condition_number_layers_2_weight,weight_dist_init_layers_2_weight,sign_stability_layers_2_weight,update_weight_ratio_layers_2_weight,l2_layers_2_bias,weight_dist_init_layers_2_bias,sign_stability_layers_2_bias,update_weight_ratio_layers_2_bias,dead_frac_hidden_0,sparsity_hidden_0,dead_frac_hidden_1,sparsity_hidden_1,margin,test_entropy,test_confidence,sharpness,fourier_mean_top_freq_hidden_0,fourier_mean_frac_explained_hidden_0,fourier_mean_entropy_hidden_0,fourier_key_freqs_hidden_0,fourier_mean_top_freq_hidden_1,fourier_mean_frac_explained_hidden_1,fourier_mean_entropy_hidden_1,fourier_key_freqs_hidden_1,logit_fourier_frac,logit_fourier_entropy,idim_hidden_0,idim_hidden_1,group_assoc_frac,group_has_identity,weight_fourier_frac_x_layers_0_weight,weight_fourier_frac_y_layers_0_weight,weight_fourier_frac_mean_layers_0_weight,phase,grad_alignment,cka_vs_prev
0,0.003430534154176712,0.0021841865964233875,0.0038959584198892117,0.006162300240248442,0.007351886481046677,0.01370352040976286,4.7282938957214355,4.728549003601074,0.008093995042145252,0.009173285216093063,-0.0010792901739478111,1.133344555850105,8.172334671020508,168.38389587402344,31.75021743774414,0.01949479803442955,0.9992256760597229,0.002385462517040454,0.5561145544052124,0.001413319492712617,1.0,0.0025414179174364907,8.173359870910645,160.3113555908203,1821.8577880859375,0.019000224769115448,0.9993749856948853,0.0023246529051948518,0.5888777375221252,0.0013791517121717334,1.0,0.0023420000864269657,6.118644714355469,103.12525939941406,6.763308525085449,0.014242022298276424,0.998982310295105,0.0023276432875505935,0.44280555844306946,0.00107174355071038,1.0,0.002420348006648096,0.0,0.5214229822158813,0.054999999701976776,0.4722624123096466,4.425644874572754e-06,4.726334571838379,0.005893313325941563,0.07192610949277878,27.775,0.04552756715110904,5.946770522594452,"[8, 12, 48]",27.925,0.03445706328875188,6.358914287090301,"[35, 36, 0]",0.8653846936481081,1.0459587749720147,102.0,63.0,0.36323729157447815,0.0,0.08226441591978073,0.07992320507764816,0.08109381049871445,pre,,
100,0.0428035743534565,0.011245653964579105,0.03594949096441269,0.004672017879784107,0.04669225215911865,0.0018480323487892747,3.6521050930023193,5.725533962249756,0.144386425614357,0.0,0.144386425614357,0.0,20.56657600402832,158.4652862548828,44.06075668334961,16.762075424194336,0.6993584036827087,0.010914249304146998,1.3771283626556396,1.2971795797348022,0.4650000035762787,0.004494163417282784,20.787193298339844,133.8687286376953,1198.9757080078125,16.718441009521484,0.7067000269889832,0.010348510396086572,1.0006965398788452,0.8225962519645691,0.6549999713897705,0.010701267495039283,16.063430786132812,91.8481674194336,13.225804328918457,12.635945320129395,0.7337610721588135,0.010103289633981266,0.6181919574737549,0.4305092990398407,0.7345132827758789,0.008968857776906805,0.0,0.2876240313053131,0.04500000178813934,0.07354830205440521,0.0002353191375732422,4.28930139541626,0.26688823103904724,,,,,,,,,,,,,,,,,,,pre,0.06445544213056564,0.32690998911857605
200,0.06380091607570648,0.018648849800229073,0.047419387847185135,0.0031887239310890436,0.05830930545926094,0.0008321648347191513,1.338726282119751,8.828851699829102,0.8365535140037537,0.0,0.8365535140037537,0.0,33.739105224609375,166.12152099609375,28.168468475341797,30.29943084716797,0.6830752491950989,0.0051155678324358266,1.2478944063186646,1.125253677368164,0.47999998927116394,0.0019350229380278002,35.8599739074707,129.86886596679688,790.90185546875,32.178585052490234,0.692674994468689,0.004805318821853402,1.7852693796157837,1.6840636730194092,0.5699999928474426,0.004964020377706218,27.85964012145996,91.82640075683594,14.008538246154785,24.622121810913086,0.7194690108299255,0.004617239529044482,0.8565413951873779,0.7314389944076538,0.6371681690216064,0.005653957893771772,0.0,0.3522323668003082,0.03500000014901161,0.06101566553115845,0.0005412101745605469,3.031407356262207,0.5358170866966248,,,,,,,,,,,,,,,,,,,pre,0.7005209922790527,0.779595673084259
300,0.022240158170461655,0.008308847434818745,0.016840580850839615,0.0009823008440434933,0.020636672154068947,0.00018847803585231304,0.17588500678539276,12.48295783996582,1.0,0.0,1.0,0.0,41.716339111328125,167.56451416015625,33.65248107910156,38.46638107299805,0.6699779033660889,0.0019042797650225573,1.1827980279922485,1.0606868267059326,0.48500001430511475,0.0009915900226594278,45.3256950378418,130.2386474609375,2466.919921875,41.87017059326172,0.6819000244140625,0.0018356699801773443,2.3791325092315674,2.303607225418091,0.5450000166893005,0.0018150250706372155,35.66842269897461,92.56394958496094,14.435318946838379,32.54596710205078,0.7161946892738342,0.001703273028924427,1.0273571014404297,0.9601454734802246,0.5840708017349243,0.0023746993209114867,0.0,0.3718811869621277,0.029999999329447746,0.0563681460916996,1.4957618713378906,2.0675015449523926,0.880424976348877,,,,,,,,,,,,,,,,,,,pre,0.8356517553329468,0.9525198936462402
400,0.0071858810260891914,0.0035089044831693172,0.005558816250413656,0.00031747270259074867,0.006814642809331417,4.9424412281950936e-05,0.04537669196724892,14.2919340133667,1.0,0.0,1.0,0.0,44.65580368041992,167.81895446777344,37.96470260620117,41.50348663330078,0.6647345423698425,0.0010293846724764829,1.1168888807296753,1.0023887157440186,0.48500001430511475,0.0008182267573559022,48.94203186035156,130.37840270996094,2368.358154296875,45.623111724853516,0.6764500141143799,0.0010046815653580788,2.627739191055298,2.5652267932891846,0.5400000214576721,0.0009486002907874827,38.70927047729492,92.81990814208984,14.087522506713867,35.672142028808594,0.7126106023788452,0.0008954512679561953,1.0893809795379639,1.0497204065322876,0.5752212405204773,0.0013089232536447886,0.0,0.3794190585613251,0.029999999329447746,0.05647258460521698,3.07637882232666,1.727753758430481,1.0694594383239746,,,,,,,,,,,,,,,,,,,pre,0.8488669395446777,0.9906706809997559
500,0.00288711697794497,0.0015934209804981947,0.002244779607281089,0.00012506281200330704,0.0027494668029248714,1.6732339645386674e-05,0.016103964298963547,15.566619873046875,1.0,0.0,1.0,0.0,46.5203742980957,167.99269104003906,34.327415466308594,43.44694137573242,0.6608406901359558,0.0008484529435263296,1.0552414655685425,0.9497491121292114,0.48500001430511475,0.0007402780283683124,51.25788497924805,130.4678955078125,20106.8359375,48.05571746826172,0.6718500256538391,0.0008364566614815851,2.8084042072296143,2.755204916000366,0.5350000262260437,0.00078729312506001,40.677852630615234,92.97911071777344,14.1795015335083,37.720252990722656,0.710044264793396,0.0007345076852143606,1.1337124109268188,1.114428162574768,0.5663716793060303,0.0010990265455096486,0.0,0.38386422395706177,0.029999999329447746,0.05601305514574051,4.157571792602539,1.5326077938079834,1.2055442333221436,,26.165,0.07408508741318919,5.645492217540741,"[41, 12, 13]",24.685,0.0485652584698185,5.61330573797226,"[12, 36, 19]",0.10375951913888765,5.841598548720368,129.0,55.0,0.020535076037049294,0.0,0.0972917377948761,0.10003232955932617,0.09866203367710114,pre,0.8335809111595154,0.9949299693107605
600,0.001188954571262002,0.0006807998870499432,0.0009308919543400407,5.283741484163329e-05,0.0011395674664527178,6.510249477287289e-06,0.0060483915731310844,16.785587310791016,1.0,0.0,1.0,0.0,48.14369583129883,168.18792724609375,32.13087463378906,45.13734817504883,0.6577433347702026,0.000752067694030885,0.9989429116249084,0.9037966728210449,0.48500001430511475,0.0006847536170347399,53.25063705444336,130.60719299316406,7306.0869140625,50.15592956542969,0.6676999926567078,0.000744850396593928,2.9762585163116455,2.9303083419799805,0.5350000262260437,0.0007150214278460328,42.369354248046875,93.10173797607422,14.102445602416992,39.48708724975586,0.708495557308197,0.0006467439039373552,1.1774203777313232,1.1749389171600342,0.5398229956626892,0.001025935722845173,0.0,0.38699477910995483,0.029999999329447746,0.055812008678913116,5.169109344482422,1.3791725635528564,1.329386830329895,,,,,,,,,,,,,,,,,,,pre,0.8378382921218872,0.996119499206543
700,0.0004975716001354158,0.00026629664353094995,0.00039074031519703567,2.1574756829068065e-05,0.0004782856267411262,2.383638957326184e-06,0.0023375407326966524,17.990819931030273,1.0,0.00022373867977876216,0.9997762613202212,0.00022373867977876216,49.63835906982422,168.31678771972656,32.152645111083984,46.6895866394043,0.6557522416114807,0.0006793163089299528,0.949086606502533,0.8639340400695801,0.47999998927116394,0.0006578699245843961,55.051788330078125,130.71665954589844,4140.9345703125,52.056617736816406,0.6657000184059143,0.0006772384149614496,3.139702796936035,3.0991203784942627,0.5350000262260437,0.0006427410370428195,43.891170501708984,93.19158935546875,13.901293754577637,41.077919006347656,0.7073893547058105,0.0005809593157367188,1.2204082012176514,1.23185133934021,0.5752212405204773,0.0009386624321821015,0.0,0.3898341953754425,0.029999999329447746,0.05553263798356056,6.166003227233887,1.251802921295166,1.4588292837142944,,,,,,,,,,,,,,,,,,,pre,0.8439048528671265,0.9969183504581451
800,0.00020878887153230608,0.00012884053285233676,0.0001649657206144184,9.425742973689921e-06,0.0002017009537667036,9.524051165499259e-07,0.0009168469696305692,19.18617820739746,1.0,0.0003356079978402704,0.9996643920021597,0.0003356079978402704,51.045318603515625,168.36117553710938,34.617034912109375,48.14799499511719,0.653407096862793,0.0006274182409200758,0.9044976830482483,0.829298734664917,0.48500001430511475,0.0007024979284532216,56.706634521484375,130.80738830566406,22855.921875,53.80257034301758,0.6630250215530396,0.0006172046377465607,3.3004724979400635,3.263103485107422,0.5299999713897705,0.0005842761031872362,45.28184509277344,93.25729370117188,13.704734802246094,42.53081512451172,0.7063274383544922,0.00052623763889791,1.2626756429672241,1.2858537435531616,0.5486725568771362,0.0008760365251535321,0.0,0.3919621407985687,0.029999999329447746,0.055271539837121964,7.067878723144531,1.1446608304977417,1.5877834558486938,,,,,,,,,,,,,,,,,,,pre,0.8158108592033386,0.9973288476467133
900,8.843531395541504e-05,5.058808164903894e-05,7.012583955656737e-05,3.927612397092162e-06,8.56951082823798e-05,3.761718403438863e-07,0.0003655125910881907,20.360883712768555,1.0,0.0003356079978402704,0.9996643920021597,0.0003356079978402704,52.376976013183594,168.38076782226562,35.8305549621582,49.523963928222656,0.6513938307762146,0.0005799972463977507,0.8654721975326538,0.799688458442688,0.49000000953674316,0.0006613944441306099,58.23139953613281,130.9349365234375,2355.965576171875,55.41035842895508,0.6606000065803528,0.0005651438553978864,3.4575858116149902,3.422548532485962,0.5350000262260437,0.000556806069036084,46.55876541137695,93.3014144897461,13.681619644165039,43.86294174194336,0.704778790473938,0.0004806713666789812,1.3046021461486816,1.337861180305481,0.5398229956626892,0.0008127861502820868,0.0,0.3937937319278717,0.029999999329447746,0.0549791119992733,7.959077835083008,1.0534650087356567,1.7114959955215454,,,,,,,,,,,,,,,,,,,pre,0.8126314878463745,0.9977442622184753
