epoch,grad_norm_layers_0_weight,grad_norm_layers_0_bias,grad_norm_layers_1_weight,grad_norm_layers_1_bias,grad_norm_layers_2_weight,grad_norm_layers_2_bias,train_loss,test_loss,train_acc,test_acc,acc_gap,grokking_score,l2_layers_0_weight,eff_rank_layers_0_weight,condition_number_layers_0_weight,weight_dist_init_layers_0_weight,sign_stability_layers_0_weight,update_weight_ratio_layers_0_weight,l2_layers_0_bias,weight_dist_init_layers_0_bias,sign_stability_layers_0_bias,update_weight_ratio_layers_0_bias,l2_layers_1_weight,eff_rank_layers_1_weight,condition_number_layers_1_weight,weight_dist_init_layers_1_weight,sign_stability_layers_1_weight,update_weight_ratio_layers_1_weight,l2_layers_1_bias,weight_dist_init_layers_1_bias,sign_stability_layers_1_bias,update_weight_ratio_layers_1_bias,l2_layers_2_weight,eff_rank_layers_2_weight,condition_number_layers_2_weight,weight_dist_init_layers_2_weight,sign_stability_layers_2_weight,update_weight_ratio_layers_2_weight,l2_layers_2_bias,weight_dist_init_layers_2_bias,sign_stability_layers_2_bias,update_weight_ratio_layers_2_bias,dead_frac_hidden_0,sparsity_hidden_0,dead_frac_hidden_1,sparsity_hidden_1,margin,test_entropy,sharpness,fourier_mean_top_freq_hidden_0,fourier_mean_frac_explained_hidden_0,fourier_mean_entropy_hidden_0,fourier_key_freqs_hidden_0,fourier_mean_top_freq_hidden_1,fourier_mean_frac_explained_hidden_1,fourier_mean_entropy_hidden_1,fourier_key_freqs_hidden_1,phase,grad_alignment,cka_vs_prev
0,0.0038632673677057028,0.002720231655985117,0.004202973563224077,0.006202313117682934,0.008516741916537285,0.016029110178351402,4.727015972137451,4.728077411651611,0.007049608509987593,0.008725808002054691,-0.0016761994920670986,1.2377719967984504,8.172401428222656,168.3846893310547,31.584123611450195,0.0194987989962101,0.9991592764854431,0.00238593260101893,0.5561763048171997,0.0014112950302660465,1.0,0.002537495786933788,8.173394203186035,160.3095245361328,2325.63916015625,0.019020479172468185,0.9993749856948853,0.0023271212301315277,0.5890159010887146,0.0013734925305470824,1.0,0.0023318428721675784,6.118648052215576,103.12678527832031,6.7567033767700195,0.01424440462142229,0.9988937973976135,0.002328031372267663,0.4428297281265259,0.0010708039626479149,1.0,0.0024180941220413353,0.0,0.5214856266975403,0.05999999865889549,0.4721214175224304,9.164214134216309e-07,4.726329326629639,0.06978747248649597,27.725,0.045518701472295156,5.947026975154877,"[8, 12, 48]",28.085,0.034465126926379125,6.358233478069305,"[36, 0, 35]",pre,,
100,0.04652905464172363,0.02136392518877983,0.03926932439208031,0.004897775128483772,0.052528265863657,0.002113105496391654,3.4491448402404785,5.337676048278809,0.19608354568481445,0.006040944252163172,0.19004260143265128,0.030808012120881433,20.329334259033203,154.50750732421875,42.83183670043945,16.83584976196289,0.6795132756233215,0.010922572403045252,1.4475538730621338,1.3920948505401611,0.4650000035762787,0.005720418801030589,20.85208511352539,132.90670776367188,1269.57275390625,16.815059661865234,0.702875018119812,0.010135189368431625,0.9556599259376526,0.821819007396698,0.6549999713897705,0.010708227262512745,15.857842445373535,91.06675720214844,14.191351890563965,12.419917106628418,0.7374336123466492,0.010028945713333284,0.606218159198761,0.3869711756706238,0.8584070801734924,0.009100965081838894,0.0,0.25788119435310364,0.03999999910593033,0.0588080957531929,2.1457672119140625e-05,4.150378227233887,,,,,,,,,,pre,0.06112372875213623,0.30080747604370117
200,0.05991257354617119,0.015752442181110382,0.04354503005743027,0.0029222778975963593,0.05487097427248955,0.0007201045518741012,1.2498410940170288,7.581976413726807,0.8057441115379333,0.007718984037637711,0.7980251275002956,0.009579944708381914,32.59687805175781,163.03021240234375,37.86549758911133,29.427919387817383,0.6681637167930603,0.005243127829553535,1.4303631782531738,1.3214054107666016,0.4699999988079071,0.001790650311738567,35.00766372680664,128.1419219970703,1535.9993896484375,31.321378707885742,0.6953750252723694,0.004767489033647963,1.6758230924606323,1.60020112991333,0.5799999833106995,0.004981340060619628,26.640867233276367,91.01327514648438,13.530891418457031,23.3685302734375,0.7281416058540344,0.004630719586493977,0.8537120819091797,0.710430920124054,0.6460176706314087,0.005074491289725162,0.0,0.32012009620666504,0.03500000014901161,0.05488772690296173,0.00012254714965820312,2.7748634815216064,,,,,,,,,,pre,0.660767138004303,0.7783176898956299
300,0.02092239260673523,0.0077765281312167645,0.015657203271985054,0.0009021150763146579,0.01949405111372471,0.00014343397924676538,0.165852352976799,10.65959644317627,1.0,0.009844501502811909,0.9901554984971881,0.009844501502811909,40.46040344238281,165.8929901123047,32.64176940917969,37.46033477783203,0.6582964658737183,0.001975146715237574,1.3549540042877197,1.2397780418395996,0.4749999940395355,0.0009639151568803516,44.375038146972656,128.0343017578125,3416.0703125,40.909366607666016,0.685575008392334,0.0018372790231052255,2.2414231300354004,2.181710958480835,0.5600000023841858,0.0018117005932613993,34.29291915893555,91.57222747802734,14.118261337280273,31.122037887573242,0.722787618637085,0.0017241636407326598,1.0080344676971436,0.9094827771186829,0.6106194853782654,0.0018131252333031102,0.0,0.34316450357437134,0.03500000014901161,0.05536945164203644,1.4588851928710938,1.8441938161849976,,,,,,,,,,pre,0.835608184337616,0.9523939192295074
400,0.006757429335266352,0.0037421390879899263,0.005139127839356661,0.0002838735526893288,0.006401401944458485,3.517667209962383e-05,0.042249541729688644,12.28126335144043,1.0,0.009061416611075401,0.9909385833889246,0.009061416611075401,43.4710578918457,166.53036499023438,34.30075454711914,40.55863571166992,0.6521681547164917,0.0010725644168617626,1.275253176689148,1.1635627746582031,0.4749999940395355,0.0008219997616404391,48.0174446105957,128.11572265625,1241.7532958984375,44.6923828125,0.6807000041007996,0.0009951008010138642,2.4905292987823486,2.4390456676483154,0.550000011920929,0.0009897282846355992,37.351951599121094,91.66182708740234,14.181783676147461,34.26625442504883,0.7198672294616699,0.0008924045604761331,1.0448676347732544,0.9663578867912292,0.5840708017349243,0.0010732817943356434,0.0,0.3525143563747406,0.03500000014901161,0.055890340358018875,3.0597219467163086,1.524253010749817,,,,,,,,,,pre,0.8355496525764465,0.99107426404953
500,0.00267970934510231,0.00132728589233011,0.0020629274658858776,0.00011545924644451588,0.002570768352597952,1.2736228200083133e-05,0.014853224158287048,13.437541007995605,1.0,0.009173285216093063,0.9908267147839069,0.009173285216093063,45.37996292114258,166.94442749023438,33.04531478881836,42.53573989868164,0.6496681571006775,0.0008657517696473251,1.2043471336364746,1.097685694694519,0.47999998927116394,0.0007114016266202446,50.342281341552734,128.18861389160156,1937.258544921875,47.13759231567383,0.6766250133514404,0.0008221166250247122,2.676948308944702,2.632546901702881,0.550000011920929,0.0008386357296277098,39.320831298828125,91.71975708007812,14.248839378356934,36.31242752075195,0.7178760766983032,0.0007305552901126534,1.060407042503357,0.9981756210327148,0.5663716793060303,0.0009593538080729695,0.0,0.35794776678085327,0.03500000014901161,0.0560770221054554,4.180084228515625,1.3450061082839966,,27.785,0.050468314689018266,5.647143793106079,"[27, 1, 8]",25.84,0.049356178915175256,5.484983887672424,"[12, 10, 44]",pre,0.8245235681533813,0.9952356219291687
600,0.001097967498935759,0.0006013961974531412,0.0008518215618096292,4.6688855945831165e-05,0.0010608392767608166,4.431037268659566e-06,0.005540382117033005,14.553888320922852,1.0,0.009173285216093063,0.9908267147839069,0.009173285216093063,47.0462532043457,167.2763214111328,33.32716751098633,44.25874328613281,0.6468141674995422,0.0007629573758312425,1.1419953107833862,1.0415416955947876,0.47999998927116394,0.0006693531312165629,52.360877990722656,128.48976135253906,4240.55126953125,49.26209259033203,0.6714000105857849,0.0007819921997087298,2.856210231781006,2.816761016845703,0.550000011920929,0.000780964591509935,41.02402877807617,91.8366928100586,14.43264102935791,38.08512878417969,0.715663731098175,0.0007164686510386915,1.0748323202133179,1.0272464752197266,0.5575221180915833,0.0008615011988779935,0.0,0.3617924153804779,0.029999999329447746,0.052771542221307755,5.221041679382324,1.2051643133163452,,,,,,,,,,pre,0.8361936807632446,0.9964915812015533
700,0.00045468786265701056,0.00022885647194925696,0.00035513582406565547,1.967757816601079e-05,0.00044222528231330216,1.804250700843113e-06,0.002122202655300498,15.659769058227539,1.0,0.009508893825113773,0.9904911061748862,0.009508893825113773,48.57749938964844,167.4998016357422,33.84892272949219,45.84107971191406,0.6451327204704285,0.0006830248049313664,1.086797833442688,0.9935042262077332,0.4749999940395355,0.00063263085960059,54.19248962402344,128.92071533203125,1363.7884521484375,51.191558837890625,0.6678749918937683,0.0006815664025335423,3.0299956798553467,2.994727611541748,0.550000011920929,0.0006751746357108421,42.56782913208008,91.96925354003906,14.50920295715332,39.69585037231445,0.7142035365104675,0.000608514321815271,1.0903156995773315,1.055138111114502,0.5486725568771362,0.0008296709655253076,0.0,0.36504438519477844,0.029999999329447746,0.05253785848617554,6.172769546508789,1.0912482738494873,,,,,,,,,,pre,0.8269129991531372,0.9971850514411926
800,0.00019069614063482732,9.836906247073784e-05,0.00014935464423615485,8.178972166206222e-06,0.0001858242612797767,7.243899631248496e-07,0.0008282532216981053,16.77167510986328,1.0,0.009732631966471672,0.9902673680335283,0.009732631966471672,50.01879119873047,167.60366821289062,35.3693962097168,47.33036422729492,0.6429646015167236,0.0006253647446741283,1.0389399528503418,0.9525108337402344,0.4749999940395355,0.0005872572487080133,55.87217712402344,129.1911163330078,6957.73779296875,52.96315002441406,0.6654999852180481,0.0006171928078817641,3.197608232498169,3.165388584136963,0.550000011920929,0.000590140207538119,43.981040954589844,92.08207702636719,14.5155029296875,41.1718864440918,0.71274334192276,0.0005421838575349676,1.1084500551223755,1.0839917659759521,0.5309734344482422,0.0008100427020012308,0.0,0.3674751818180084,0.029999999329447746,0.052471280097961426,7.094290733337402,0.9956796169281006,,,,,,,,,,pre,0.8481477499008179,0.9976668655872345
900,8.036895451368764e-05,4.0133647416951135e-05,6.333036435535178e-05,3.4544318623375148e-06,7.8673503594473e-05,2.8119907824475376e-07,0.00032870209543034434,17.883352279663086,1.0,0.009508893825113773,0.9904911061748862,0.009508893825113773,51.383522033691406,167.6927947998047,35.003395080566406,48.73952102661133,0.640730082988739,0.0005739710463406435,0.9960474371910095,0.9160553812980652,0.47999998927116394,0.0005750097775797932,57.414737701416016,129.36532592773438,1175.0030517578125,54.590309143066406,0.6627249717712402,0.0005616152368194348,3.3587563037872314,3.328059196472168,0.550000011920929,0.000549322034207545,45.28239440917969,92.17573547363281,14.451170921325684,42.53124237060547,0.7108407020568848,0.0004911949755409583,1.1287627220153809,1.1138360500335693,0.5221238732337952,0.0007746850336793471,0.0,0.3699033856391907,0.02500000037252903,0.0524621419608593,8.052522659301758,0.9153811931610107,,,,,,,,,,pre,0.8549599647521973,0.9980471134185791
